Business Name,Address,City,State,ZIP Code,Phone,Website,Detected Category,Rating,Reviews,Search Term,Map Rank,Search Source,Image URL,Sponsored?,Google Maps URL,Latitude,Longitude
Smile Recreation Dentistry by Dr. Baseri,6221 Wilshire Blvd #517,Los Angeles,CA,90048,(323) 413-2903,http://www.smilerecreation.com/,Dentist,4.7,339,Dentists near los angeles,1,Google Maps,https://lh3.googleusercontent.com/p/AF1QipN2kntnleFu8xEQJjEN1Ckc-9tfU7C8luBt4n0I=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Smile+Recreation+Dentistry+by+Dr.+Baseri/@34.063501,-118.3640248,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2bc81e5183381:0x11e698ae92bff020!8m2!3d34.063501!4d-118.3640248!16s%2Fg%2F1pty987f6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.063501,-118.3640248
Restore Dental,2002 S Hoover St,Los Angeles,CA,90007,(310) 858-7373,https://www.restoredentalcenters.com/,Dentist,4.7,643,Dentists near los angeles,2,Google Maps,https://lh3.googleusercontent.com/p/AF1QipNqnV7p5BzDY7afOiypFqI0RdLKn1p6eBXJmTEQ=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Restore+Dental/@34.0378399,-118.283664,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2c7933400e107:0x26a8256b665c5729!8m2!3d34.0378399!4d-118.283664!16s%2Fg%2F11bwkq282t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.0378399,-118.283664
Studio Smiles,5114 Venice Blvd.,Los Angeles,CA,90019,(323) 634-9333,http://studiosmilesla.com/,Dentist,4.8,884,Dentists near los angeles,3,Google Maps,https://lh3.googleusercontent.com/p/AF1QipMfzsLKeVFFdkP7jM0b6fQailgU2QcLjOUGB1hX=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Studio+Smiles/@34.044779,-118.3512076,16z/data=!3m1!4b1!4m6!3m5!1s0x80c2b901399c0001:0x88ba695267a4e405!8m2!3d34.044779!4d-118.3512076!16s%2Fg%2F11c0xwkdjv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.044779,-118.3512076
Los Angeles Dental Arts - Westchester,8540 S Sepulveda Blvd #918,Westchester,CA,90045,(310) 670-0379,http://www.losangelesdentalarts.com/?utm_source=gmb_auth,Dentist,4.9,466,Dentists near los angeles,4,Google Maps,https://lh3.googleusercontent.com/p/AF1QipNjk27lCXWLYUD4tfrK9mbQ759MBdlpTsnCO2Yf=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Los+Angeles+Dental+Arts+-+Westchester/@33.960223,-118.3956818,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2b0cd07ccb201:0xb16c91faa189c40e!8m2!3d33.960223!4d-118.3956818!16s%2Fg%2F1tj9c7_b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",33.960223,-118.3956818
Blue Pearl Dentistry,1080 S La Cienega Blvd #206,Los Angeles,CA,90035,(424) 288-4175,http://www.bluepearldentistry.com/,Dentist,5.0,921,Dentists near los angeles,5,Google Maps,https://lh3.googleusercontent.com/p/AF1QipPINZyitpHbDuO-eXn3zidHG7eZNIo4XcXqCmNg=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Blue+Pearl+Dentistry/@34.0572841,-118.375902,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2b94231e3a4a3:0x23b53fb47973e297!8m2!3d34.0572841!4d-118.375902!16s%2Fg%2F11b6d7gxs9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.0572841,-118.375902
Allure Dentistry,1872 S Sepulveda Blvd #2,Los Angeles,CA,90025,(310) 683-5321,https://www.alluredentistry.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,Dentist,4.7,287,Dentists near los angeles,6,Google Maps,https://lh3.googleusercontent.com/p/AF1QipM5qH4A69FB_elnxTBooMKCgL1VnSfS5Z5rS4hi=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Allure+Dentistry/@34.0450731,-118.4418071,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2bb766858a69b:0x5d6f344dbad09b32!8m2!3d34.0450731!4d-118.4418071!16s%2Fg%2F1td2mrp9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.0450731,-118.4418071
Asaro Dental Aesthetics,6333 Wilshire Blvd #311,Los Angeles,CA,90048,(323) 653-7500,https://asarodentalaesthetics.com/,Cosmetic dentist,5.0,311,Dentists near los angeles,7,Google Maps,https://lh3.googleusercontent.com/p/AF1QipPVSG0yD7IdJFrXSm2FoolCF_Hoy8THBr4fbE5y=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Asaro+Dental+Aesthetics/@34.0638949,-118.3663645,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2b9392142efef:0xb15684d59bc2fe3!8m2!3d34.0638949!4d-118.3663645!16s%2Fg%2F1th0n4xp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.0638949,-118.3663645
United Dental Care,3909 Sepulveda Blvd,Culver City,CA,90230,(310) 390-6000,http://culvercitydentist.com/,Dentist,4.9,818,Dentists near los angeles,8,Google Maps,https://lh3.googleusercontent.com/p/AF1QipPsRzGeiIPw9uvv3r7LRtPVwkGEAX5PlGeFci6z=w32-h32-p-k-no,false,"https://www.google.com/maps/place/United+Dental+Care/@34.0107296,-118.4157404,16z/data=!3m1!4b1!4m6!3m5!1s0x80c2ba38a24d54d7:0xa241d4c9dd793f1!8m2!3d34.0107296!4d-118.4157404!16s%2Fg%2F1w6_p2b4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.0107296,-118.4157404
Smile L.A. Downtown Modern Dentistry,523 W 6th St #202,Los Angeles,CA,90014,(213) 570-8775,https://smilela.com/?utm_medium=organic&utm_source=googlebusiness&utm_campaign=gbp,Dentist,4.9,667,Dentists near los angeles,9,Google Maps,https://lh3.googleusercontent.com/p/AF1QipOj2Kcz-xMg9oow4RQU5cZAuA9F-8gZu6xUJZSY=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Smile+L.A.+Downtown+Modern+Dentistry/@34.048646,-118.254826,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2b74f2bac1b97:0x918649d01d00d01b!8m2!3d34.048646!4d-118.254826!16s%2Fg%2F1tdqny0z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.048646,-118.254826
Happy Smiles Dental,1655 S Western Ave Suite C,Los Angeles,CA,90006,(323) 529-0002,https://happysmilesla.com/en/,Dentist,4.9,1648,Dentists near los angeles,10,Google Maps,https://lh3.googleusercontent.com/p/AF1QipOUP3xHYxH9mgwP1TcKtz3m42eAuussdachyMHB=w32-h32-p-k-no,false,"https://www.google.com/maps/place/Happy+Smiles+Dental/@34.0429157,-118.3101701,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2b93daeb2d383:0x4946d04389d681a8!8m2!3d34.0429157!4d-118.3101701!16s%2Fg%2F11gjp74pk3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTIwOC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",34.0429157,-118.3101701
