rank,searchTerm,source,name,address,city,state,zip,phone,website,rating,reviews,category,placeUrl
1,auto shops near los angeles,Google Maps,Results,,,,,,,,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/United+Automotive+Repair/data=!4m7!3m6!1s0x80c2b981aad012d7:0xe088860deb8bab3c!8m2!3d34.0289022!4d-118.3900447!16s%2Fg%2F11c3k6cp7b!19sChIJ1xLQqoG5woARPKuL6w2GiOA?authuser=0&hl=en&rclk=1
2,auto shops near los angeles,Google Maps,Results,,,,,,,,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Complete+Automotive+Systems/data=!4m7!3m6!1s0x80c2b97ff5910de1:0x782064ac1d7c2849!8m2!3d34.0308589!4d-118.3918919!16s%2Fg%2F1tdxl3xk!19sChIJ4Q2R9X-5woARSSh8HaxkIHg?authuser=0&hl=en&rclk=1
3,auto shops near los angeles,Google Maps,Complete Automotive Systems,"9030 National Blvd, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://www.completeautomotivesystems.com/,4.7,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Fix+Car+Now/data=!4m7!3m6!1s0x80c2bbccbb51a255:0xd1d5b1c7d7cb7c68!8m2!3d34.0274192!4d-118.4097151!16s%2Fg%2F1tksj1k6!19sChIJVaJRu8y7woARaHzL18ex1dE?authuser=0&hl=en&rclk=1
4,auto shops near los angeles,Google Maps,Mid City Complete Auto,"5054 Washington Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,,https://automidcity.com/,4.5,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Mid+City+Complete+Auto/data=!4m7!3m6!1s0x80c2b9aa6e3129cd:0x173051806d71494a!8m2!3d34.0405875!4d-118.3500985!16s%2Fg%2F11gff5tgmk!19sChIJzSkxbqq5woARSklxbYBRMBc?authuser=0&hl=en&rclk=1
5,auto shops near los angeles,Google Maps,Mid City Complete Auto,"5054 Washington Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,,https://automidcity.com/,4.5,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/A1+Auto+Repair+%26+Smog+Check-+Pass+or+Free/data=!4m7!3m6!1s0x80c2bbd2e50234f1:0x83e1022f17e5889b!8m2!3d34.0300752!4d-118.4022758!16s%2Fg%2F1pxq9zhkr!19sChIJ8TQC5dK7woARm4jlFy8C4YM?authuser=0&hl=en&rclk=1
6,auto shops near los angeles,Google Maps,Mid City Complete Auto,"5054 Washington Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,,https://automidcity.com/,4.5,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/3C+Performance+Exhaust/data=!4m7!3m6!1s0x80c2b976265c2427:0x51e7d427ad793388!8m2!3d34.034714!4d-118.377506!16s%2Fg%2F11bbwlj9gt!19sChIJJyRcJna5woARiDN5rSfU51E?authuser=0&hl=en&rclk=1
7,auto shops near los angeles,Google Maps,3C Performance Exhaust,"2608 S La Cienega Blvd, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://www.facebook.com/pg/3cs-Muffler-Shop-1016312851761892,4.8,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/RPM+Brake+Service+%26+Auto+Repair/data=!4m7!3m6!1s0x80c2b97efb2b1439:0xc16e360d8fd8831b!8m2!3d34.0345211!4d-118.3891875!16s%2Fg%2F1vd95c5g!19sChIJORQr-365woARG4PYjw02bsE?authuser=0&hl=en&rclk=1
8,auto shops near los angeles,Google Maps,Gilbert's Auto Repair,"5363 Venice Blvd., Los Angeles, CA 90019",Los Angeles,CA,90019,,,5.0,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Gilbert%27s+Auto+Repair/data=!4m7!3m6!1s0x80c2ba2fd6dd49f9:0xe4a4ac4324f77ca7!8m2!3d34.0445189!4d-118.3570081!16s%2Fg%2F11cly16ttd!19sChIJ-Und1i-6woARp3z3JEOspOQ?authuser=0&hl=en&rclk=1
9,auto shops near los angeles,Google Maps,Firestone Complete Auto Care,"1975 S La Cienega Blvd, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://www.firestonecompleteautocare.com/california/los-angeles/1975-s-la-cienega-blvd/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,3.7,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x80c2b9713bfb28cd:0x1dd1a2078a08136b!8m2!3d34.0406823!4d-118.3772818!16s%2Fg%2F1tfgk228!19sChIJzSj7O3G5woARaxMIigei0R0?authuser=0&hl=en&rclk=1
10,auto shops near los angeles,Google Maps,Fix Auto Beverly Hills,"2640 La Cienega Ave, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://fixautousa.com/locations/california/beverly-hills/,4.8,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Fix+Auto+Beverly+Hills/data=!4m7!3m6!1s0x80c2b99d9c082ed3:0x5913f8cbdae1f4dd!8m2!3d34.0334869!4d-118.3781376!16s%2Fg%2F1tc_4c4r!19sChIJ0y4InJ25woAR3fTh2sv4E1k?authuser=0&hl=en&rclk=1
