rank,searchTerm,source,name,address,city,state,zip,phone,website,rating,reviews,category,placeUrl
1,Dentists near Los Angeles CA,Google Maps,"Danishwar Dentistry: Afsana Danishwar, DDS","5814 Obama Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,,https://www.danishwardentistry.com/,4.8,,"Danishwar Dentistry: Afsana Danishwar, DDS","https://www.google.com/maps/place/Danishwar+Dentistry:+Afsana+Danishwar,+DDS/data=!4m7!3m6!1s0x80c29007be3dbe7d:0x32d20e48bcafcc36!8m2!3d34.0211387!4d-118.3729709!16s%2Fg%2F1tdhf7tc!19sChIJfb49vgeQwoARNsyvvEgO0jI?authuser=0&hl=en&rclk=1"
2,Dentists near Los Angeles CA,Google Maps,Ladera Dental,"5814 Obama Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,,https://www.danishwardentistry.com/,3.9,,"Ladera Dental
3.9
(33)
Dentist·",https://www.google.com/maps/place/Ladera+Dental/data=!4m7!3m6!1s0x80c2b996f2f73515:0x32f2c4ebf4c43107!8m2!3d34.0211945!4d-118.3729774!16s%2Fg%2F1trxkjt7!19sChIJFTX38pa5woARBzHE9OvE8jI?authuser=0&hl=en&rclk=1
3,Dentists near Los Angeles CA,Google Maps,United Dental Care,"3909 Sepulveda Blvd, Culver City, CA 90230",Culver City,CA,90230,,http://culvercitydentist.com/,4.9,,"United Dental Care
4.9
(818)
Dentist·",https://www.google.com/maps/place/United+Dental+Care/data=!4m7!3m6!1s0x80c2ba38a24d54d7:0xa241d4c9dd793f1!8m2!3d34.0107296!4d-118.4157404!16s%2Fg%2F1w6_p2b4!19sChIJ11RNoji6woAR8ZPXnUwdJAo?authuser=0&hl=en&rclk=1
4,Dentists near Los Angeles CA,Google Maps,Fuller Smiles - Venice,"9808 Venice Blvd. #506, Culver City, CA 90232",Culver City,CA,90232,,https://dentistoflosangeles.com/,4.8,,"Fuller Smiles - Venice
4.8
(610)
Dentist·",https://www.google.com/maps/place/Fuller+Smiles+-+Venice/data=!4m7!3m6!1s0x80c2ba2945b13b0f:0xb6da5663ce6afa20!8m2!3d34.0234154!4d-118.3979021!16s%2Fg%2F11c5gb_42f!19sChIJDzuxRSm6woARIPpqzmNW2rY?authuser=0&hl=en&rclk=1
5,Dentists near Los Angeles CA,Google Maps,Beverlywood Dental,"8515 Venice Blvd., Los Angeles, CA 90034",Los Angeles,CA,90034,,http://www.beverlywooddental.com/,4.1,,Beverlywood Dental,https://www.google.com/maps/place/Beverlywood+Dental/data=!4m7!3m6!1s0x80c2b97634f8612d:0xbd0d214a862a4edf!8m2!3d34.0354911!4d-118.3783944!16s%2Fg%2F1trtvl6m!19sChIJLWH4NHa5woAR304qhkohDb0?authuser=0&hl=en&rclk=1
6,Dentists near Los Angeles CA,Google Maps,Smile Design Dental,"8530 W Pico Blvd, Los Angeles, CA 90035",Los Angeles,CA,90035,,https://www.smiledesignlosangeles.com/,4.9,,Smile Design Dental,https://www.google.com/maps/place/Smile+Design+Dental/data=!4m7!3m6!1s0x80c2b969913aea8b:0xcf81380cea05f0c3!8m2!3d34.0532853!4d-118.376982!16s%2Fg%2F1td13js9!19sChIJi-o6kWm5woARw_AF6gw4gc8?authuser=0&hl=en&rclk=1
7,Dentists near Los Angeles CA,Google Maps,Bright Now! Dental – Los Angeles (Central LA),"4550 W Pico Blvd Suite C309, Los Angeles, CA 90019",Los Angeles,CA,90019,,https://www.brightnow.com/dental-office/los-angeles/10710/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,3.7,,"3.7
(398)
Dentist",https://www.google.com/maps/place/Bright+Now!+Dental+%E2%80%93+Los+Angeles+%28Central+LA%29/data=!4m7!3m6!1s0x80c2b8f9d90d3bcf:0x87c8dc1f96a9f65a!8m2!3d34.0484652!4d-118.3358652!16s%2Fg%2F1tf6ly0s!19sChIJzzsN2fm4woARWvaplh_cyIc?authuser=0&hl=en&rclk=1
8,Dentists near Los Angeles CA,Google Maps,Century Smile Dental,"3831 Hughes Ave # 701, Culver City, CA 90232",Culver City,CA,90232,,https://www.centurysmile.com/,4.8,,"Century Smile Dental
4.8
(235)
Dentist·",https://www.google.com/maps/place/Century+Smile+Dental/data=!4m7!3m6!1s0x80c2ba2eb6cc6bfd:0xe60cf8f1499e4e2c!8m2!3d34.0224004!4d-118.3982649!16s%2Fg%2F1tj91tjm!19sChIJ_WvMti66woARLE6eSfH4DOY?authuser=0&hl=en&rclk=1
9,Dentists near Los Angeles CA,Google Maps,Smile Recreation Dentistry by Dr. Baseri,"6221 Wilshire Blvd #517, Los Angeles, CA 90048",Los Angeles,CA,90048,,http://www.smilerecreation.com/,4.7,,Smile Recreation Dentistry by Dr. Baseri,https://www.google.com/maps/place/Smile+Recreation+Dentistry+by+Dr.+Baseri/data=!4m7!3m6!1s0x80c2bc81e5183381:0x11e698ae92bff020!8m2!3d34.063501!4d-118.3640248!16s%2Fg%2F1pty987f6!19sChIJgTMY5YG8woARIPC_kq6Y5hE?authuser=0&hl=en&rclk=1
10,Dentists near Los Angeles CA,Google Maps,La Cienega Dental Group,"1835 S La Cienega Blvd # 200, Los Angeles, CA 90035",Los Angeles,CA,90035,,,4.6,,"La Cienega Dental Group
4.6
(43)
Dentist·",https://www.google.com/maps/place/La+Cienega+Dental+Group/data=!4m7!3m6!1s0x80c2b9703ba73529:0xe25a3c89eaaa3501!8m2!3d34.043485!4d-118.379316!16s%2Fg%2F1tj5ldym!19sChIJKTWnO3C5woARATWq6ok8WuI?authuser=0&hl=en&rclk=1
